tick_time,asset,data_timestamp,close,top_conviction,fires,n_train,status
2026-03-17T00:03:45.213827+00:00,XLE,2026-03-13 18:30:00+00:00,57.790000915527344,0.2629,True,500,ok
2026-03-17T00:46:41.606026+00:00,XLE,2026-03-13 18:30:00+00:00,57.790000915527344,0.2629,True,500,ok
2026-03-17T00:50:10.619072+00:00,XLE,2026-03-13 18:30:00+00:00,57.790000915527344,0.2629,True,500,ok
2026-03-17T15:00:13.720067+00:00,XLE,2026-03-16 13:30:00+00:00,57.935001373291016,0.3238,True,500,ok
2026-03-17T15:59:39.807461+00:00,XLE,2026-03-16 14:30:00+00:00,58.05500030517578,0.2174,False,500,ok
2026-03-17T16:59:46.917504+00:00,XLE,2026-03-16 15:30:00+00:00,57.88999938964844,0.3736,True,500,ok
2026-03-17T17:59:41.437145+00:00,XLE,2026-03-16 16:30:00+00:00,57.810001373291016,0.6452,True,500,ok
2026-03-17T19:00:30.917925+00:00,XLE,2026-03-16 17:30:00+00:00,57.939998626708984,0.5969,True,500,ok
2026-03-17T19:57:17.111259+00:00,XLE,2026-03-16 18:30:00+00:00,57.95000076293945,0.3896,True,500,ok
2026-03-17T20:21:56.865107+00:00,XLE,2026-03-16 18:30:00+00:00,57.95000076293945,0.427,True,500,ok
2026-03-18T15:01:40.294646+00:00,XLE,2026-03-17 13:30:00+00:00,58.816001892089844,0.4169,True,500,ok
2026-03-18T16:00:53.849042+00:00,XLE,2026-03-17 14:30:00+00:00,58.85599899291992,0.3123,True,500,ok
2026-03-18T16:58:42.486598+00:00,XLE,2026-03-17 15:30:00+00:00,58.744998931884766,0.3343,True,500,ok
2026-03-18T17:59:42.771855+00:00,XLE,2026-03-17 16:30:00+00:00,58.744998931884766,0.2886,True,500,ok
2026-03-18T18:58:27.726888+00:00,XLE,2026-03-17 17:30:00+00:00,58.685001373291016,0.5596,True,500,ok
2026-03-18T19:54:22.933601+00:00,XLE,2026-03-17 18:30:00+00:00,58.564998626708984,0.4013,True,500,ok
2026-03-18T20:21:49.753719+00:00,XLE,2026-03-17 18:30:00+00:00,58.564998626708984,0.4403,True,500,ok
2026-03-19T14:56:55.643844+00:00,XLE,2026-03-18 13:30:00+00:00,58.57500076293945,0.1668,False,500,ok
2026-03-19T15:57:38.158322+00:00,XLE,2026-03-18 14:30:00+00:00,58.57500076293945,0.1337,False,500,ok
2026-03-19T16:58:20.271632+00:00,XLE,2026-03-18 15:30:00+00:00,58.709999084472656,0.1431,False,500,ok
2026-03-19T17:57:00.904970+00:00,XLE,2026-03-18 16:30:00+00:00,58.779998779296875,0.2059,False,500,ok
2026-03-19T18:58:09.518118+00:00,XLE,2026-03-18 17:30:00+00:00,58.75519943237305,0.1817,False,500,ok
2026-03-19T19:53:01.161945+00:00,XLE,2026-03-18 18:30:00+00:00,58.65999984741211,0.3136,True,500,ok
2026-03-19T20:21:22.930517+00:00,XLE,2026-03-18 18:30:00+00:00,58.65999984741211,0.2667,True,500,ok
2026-03-20T14:55:36.071305+00:00,XLE,2026-03-19 13:30:00+00:00,59.369998931884766,0.1701,False,500,ok
2026-03-20T15:55:14.264434+00:00,XLE,2026-03-19 14:30:00+00:00,59.29999923706055,0.1299,False,500,ok
2026-03-20T16:56:15.846952+00:00,XLE,2026-03-19 15:30:00+00:00,59.65999984741211,0.1608,False,500,ok
2026-03-20T17:53:11.506659+00:00,XLE,2026-03-19 16:30:00+00:00,59.42499923706055,0.2842,True,500,ok
2026-03-20T18:57:15.993019+00:00,XLE,2026-03-19 17:30:00+00:00,59.474998474121094,0.2536,True,500,ok
2026-03-20T19:50:28.977461+00:00,XLE,2026-03-19 18:30:00+00:00,59.185001373291016,0.114,False,500,ok
2026-03-20T20:17:12.805122+00:00,XLE,2026-03-19 18:30:00+00:00,59.185001373291016,0.1104,False,500,ok
2026-03-23T14:57:41.750936+00:00,XLE,2026-03-20 13:30:00+00:00,59.494998931884766,0.2239,False,500,ok
